iteration,loss,max_conf,mean_conf,grad_norm,texture_mean,texture_std,spawn_idx,weather_name,timestamp
910,0.3333507676919301,0.644146203994751,0.24874083697795868,0.2096993774175644,0.475071519613266,0.3909139037132263,91,clear_afternoon,2026-02-28T22:42:41.426367
920,0.4268051187197367,0.4992986023426056,0.33865776658058167,0.1798691302537918,0.47602009773254395,0.3917221426963806,92,golden_hour,2026-02-28T22:42:56.120229
930,0.26403019825617474,0.432259738445282,0.22519071400165558,0.17412076890468597,0.477447509765625,0.39212459325790405,93,partly_cloudy,2026-02-28T22:43:10.782867
940,0.3818265398343404,0.6886885166168213,0.2964278757572174,0.2432422786951065,0.47754621505737305,0.39263585209846497,94,partly_cloudy,2026-02-28T22:43:25.474566
950,0.45995336274305976,0.8387122750282288,0.3183523118495941,0.20892006158828735,0.4761522710323334,0.392376184463501,95,clear_noon,2026-02-28T22:43:40.133337
960,0.2042476137479146,0.324963241815567,0.18055874109268188,0.11973879486322403,0.4751506745815277,0.3927658796310425,96,hazy,2026-02-28T22:43:54.795150
970,0.22938328484694162,0.3894786834716797,0.19854508340358734,0.13893559575080872,0.47526153922080994,0.3931799829006195,97,clear_afternoon,2026-02-28T22:44:09.444483
980,0.3660513758659363,0.5914931297302246,0.2843529284000397,0.2656930983066559,0.475902259349823,0.3926650583744049,98,partly_cloudy,2026-02-28T22:44:24.141713
990,0.21064352989196777,0.42628124356269836,0.1847834587097168,0.21948909759521484,0.477451890707016,0.3913123309612274,99,clear_noon,2026-02-28T22:44:38.777867
1000,0.4651654462019602,0.7225172519683838,0.32993537187576294,0.35753515362739563,0.478176087141037,0.3913364112377167,100,golden_hour,2026-02-28T22:44:53.456510
1010,0.22900895526011783,0.5496487617492676,0.19114960730075836,0.11506985872983932,0.4779314696788788,0.39226600527763367,101,partly_cloudy,2026-02-28T22:45:08.142090
1020,0.2597329219182333,0.5803211331367493,0.21128563582897186,0.17774952948093414,0.47841572761535645,0.39178064465522766,102,clear_afternoon,2026-02-28T22:45:22.847147
1030,0.1888782133658727,0.4261522591114044,0.1628190129995346,0.12373009324073792,0.47905927896499634,0.39207082986831665,103,partly_cloudy,2026-02-28T22:45:37.499161
1040,0.28312159081300103,0.640544056892395,0.21948708593845367,0.2196652591228485,0.479484885931015,0.3926814794540405,104,hazy,2026-02-28T22:45:52.182117
